class,precision,recall,f1,support
0,0.7263990955342001,0.8061480552070264,0.7641986321736545,1594
1,0.3826955074875208,0.3150684931506849,0.3456048084147258,730
2,0.34269662921348315,0.32275132275132273,0.33242506811989103,378
3,0.3,0.08823529411764706,0.13636363636363635,34
