variant,model,f1_macro,balanced_accuracy,qwk,accuracy
four_classes,lgbm_regressor,0.3634158575973724,0.3668611411833573,0.42576843639897943,0.572992700729927
merge_classes_23,lgbm_regressor,0.49637185028346575,0.49945925325383644,0.4105414126927215,0.572992700729927
