mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__learning_rate,param_model__regressor__min_child_samples,param_model__regressor__n_estimators,param_model__regressor__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
357.26835663318633,94.56707277754256,0.5234055519104004,0.09293529331761446,0.06618101782710437,33,370,58,"{'model__regressor__learning_rate': np.float64(0.06618101782710437), 'model__regressor__min_child_samples': 33, 'model__regressor__n_estimators': 370, 'model__regressor__num_leaves': 58}",0.3667905824039652,0.26957227205120116,0.30971893137404083,0.43798926052921006,0.4121142594929449,0.3633290514502062,0.3374587458745876,0.30106902939272884,0.40731342607277177,0.3184617554416811,0.35238173140833373,0.05188964112048637,37
115.0433739900589,47.39363043694199,0.5004103422164917,0.10406653004632668,0.12695365004091538,25,202,34,"{'model__regressor__learning_rate': np.float64(0.12695365004091538), 'model__regressor__min_child_samples': 25, 'model__regressor__n_estimators': 202, 'model__regressor__num_leaves': 34}",0.38818270708199465,0.2834707499018454,0.39455932765675106,0.4279021567823139,0.43198709705542593,0.3267457180500658,0.4057310322370564,0.289840849938132,0.4293193717277487,0.3059179765774592,0.3683656987008793,0.057260680738917685,21
285.85120952129364,90.8158686271826,0.46416411399841306,0.04841798427443009,0.02499623737270043,15,187,51,"{'model__regressor__learning_rate': np.float64(0.02499623737270043), 'model__regressor__min_child_samples': 15, 'model__regressor__n_estimators': 187, 'model__regressor__num_leaves': 51}",0.37879739298010084,0.29722664966528534,0.35233349538162373,0.38909627927964885,0.43960370054458375,0.38526315789473686,0.43792554883868917,0.3951390167556619,0.4013815591882266,0.3692971914363289,0.38460639919648865,0.03901979574386668,7
205.08363270759583,70.31196712123808,0.4943000555038452,0.08019168794585006,0.031430022688291114,7,249,17,"{'model__regressor__learning_rate': np.float64(0.031430022688291114), 'model__regressor__min_child_samples': 7, 'model__regressor__n_estimators': 249, 'model__regressor__num_leaves': 17}",0.378858455996522,0.3482142857142858,0.4105640910620163,0.4459149118368301,0.5091014492753623,0.42605765630849857,0.4580581048693517,0.32874882112543224,0.461915230051294,0.45574216976849746,0.42231751760080904,0.0532335188000719,1
314.25977845191954,29.660769055194308,0.6663411617279053,0.5517634734476695,0.1182998158400237,34,393,17,"{'model__regressor__learning_rate': np.float64(0.1182998158400237), 'model__regressor__min_child_samples': 34, 'model__regressor__n_estimators': 393, 'model__regressor__num_leaves': 17}",0.3512012220524927,0.2842148874464854,0.3921509563870301,0.3510198784365469,0.4777349000563673,0.38792621576299613,0.3796033994334278,0.3264538059973292,0.401021158755571,0.33545590028451433,0.36867823246127607,0.04961671098281615,20
316.9214596748352,49.07007124315082,0.5531446695327759,0.12374827387525568,0.03727374508106509,25,260,27,"{'model__regressor__learning_rate': np.float64(0.03727374508106509), 'model__regressor__min_child_samples': 25, 'model__regressor__n_estimators': 260, 'model__regressor__num_leaves': 27}",0.3347797786938598,0.320959476336075,0.3791048108047773,0.43317750446419623,0.44090115107269234,0.3578766070000615,0.4074825618262524,0.34213300972805216,0.43821382921700414,0.38398432158971785,0.3838613050732689,0.04242938018963762,8
290.8918771982193,25.953938549640387,0.5020303726196289,0.08905342363504681,0.10174797407324213,48,148,42,"{'model__regressor__learning_rate': np.float64(0.10174797407324213), 'model__regressor__min_child_samples': 48, 'model__regressor__n_estimators': 148, 'model__regressor__num_leaves': 42}",0.4065831556503199,0.29579033647884656,0.3708690598890375,0.4284042840428405,0.48670416773203784,0.36662535064257284,0.439971149432824,0.27660355361730604,0.3782618459465529,0.3009222414680961,0.37507351449004345,0.06487674113310168,13
477.1390591621399,48.539333731138065,0.5067968606948853,0.07352916117382893,0.10177793420835692,46,287,31,"{'model__regressor__learning_rate': np.float64(0.10177793420835692), 'model__regressor__min_child_samples': 46, 'model__regressor__n_estimators': 287, 'model__regressor__num_leaves': 31}",0.41325163665167863,0.2848190644307148,0.39030414669373914,0.36784638554216864,0.44492103723922793,0.3677355371900827,0.4395679054283579,0.3203652064405865,0.4301084561206412,0.27219775536297774,0.37311171311001756,0.059620857142741304,17
190.48647990226746,12.527972966969152,0.4814519643783569,0.057632499828516266,0.044915701064545635,48,154,18,"{'model__regressor__learning_rate': np.float64(0.044915701064545635), 'model__regressor__min_child_samples': 48, 'model__regressor__n_estimators': 154, 'model__regressor__num_leaves': 18}",0.33478437518138016,0.33599012327747413,0.42474614811620337,0.39175559128782345,0.5421038023868998,0.4381381224147861,0.41308566675907954,0.3812582258489077,0.4427525837654934,0.4418976759070362,0.4146512314945084,0.05712949569976859,2
235.9813122034073,25.770456511183703,0.499320387840271,0.07214705402350943,0.13899106101044809,11,120,24,"{'model__regressor__learning_rate': np.float64(0.13899106101044809), 'model__regressor__min_child_samples': 11, 'model__regressor__n_estimators': 120, 'model__regressor__num_leaves': 24}",0.3614880417388254,0.27486732888828413,0.40804512078322863,0.35746645381196873,0.421039274157731,0.42512556582129346,0.3660720296196567,0.3516020790841503,0.44638556854503264,0.36328676434795315,0.3775378226798124,0.04694313837835429,11
